 2016-05-01 21:44:59,658 [P3692/D5/T120] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-05-01 21:44:59,683 [P3692/D5/T120] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 25ms)
 2016-05-01 21:44:59,685 [P3692/D5/T120] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-05-01 21:44:59,718 [P3692/D5/T120] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 33ms)
 2016-05-01 21:44:59,745 [P3692/D5/T120] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-05-01 21:44:59,763 [P3692/D5/T120] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 18ms)
 2016-05-01 21:44:59,764 [P3692/D5/T120] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-05-01 21:44:59,787 [P3692/D5/T120] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 22ms)
 2016-05-01 21:44:59,851 [P3692/D5/T120] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-05-01 21:44:59,865 [P3692/D5/T120] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 14ms)
 2016-05-01 21:44:59,867 [P3692/D5/T120] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-05-01 21:44:59,885 [P3692/D5/T120] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 18ms)
 2016-05-01 21:45:01,305 [P3692/D5/T120] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-05-01 21:45:01,592 [P3692/D5/T120] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-05-01 21:45:01,603 [P3692/D5/T120] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-05-01 21:45:01,627 [P3692/D5/T120] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-05-01 21:45:01,655 [P3692/D5/T120] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-05-01 21:45:01,744 [P3692/D5/T120] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-05-01 21:45:01,760 [P3692/D5/T120] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 2983ms)
 2016-05-01 21:45:03,546 [P3692/D5/T130] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:21965/umbraco (UmbracoModule request)
 2016-05-01 21:45:08,198 [P3692/D5/T130] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2016-05-01 21:45:08,228 [P3692/D5/T130] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 29ms)
 2016-05-01 21:45:08,568 [P3692/D5/T130] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2016-05-01 21:45:08,604 [P3692/D5/T130] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 36ms)
 2016-05-01 21:45:08,627 [P3692/D5/T130] INFO  umbraco.content - Load Xml from file...
 2016-05-01 21:45:08,629 [P3692/D5/T130] INFO  umbraco.content - Loaded Xml from file.
 2016-05-01 21:45:08,637 [P3692/D5/T130] INFO  umbraco.content - Loading content from database...
 2016-05-01 21:45:09,207 [P3692/D5/T117] INFO  Umbraco.Core.Configuration.ClientDependencyConfiguration - Updated version number from 1366343846 to 901815691
 2016-05-01 21:45:09,215 [P3692/D5/T117] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-05-01 21:45:09,230 [P3692/D5/T117] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 14ms)
 2016-05-01 21:45:09,254 [P3692/D5/T117] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-05-01 21:45:09,267 [P3692/D5/T99] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Terminating
 2016-05-01 21:45:09,267 [P3692/D5/T99] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Waiting for tasks to complete
 2016-05-01 21:45:09,270 [P3692/D5/T114] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Tasks completed, terminated
 2016-05-01 21:45:09,276 [P3692/D5/T117] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 22ms)
 2016-05-01 21:45:09,281 [P3692/D5/T117] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
